gene,variable,value
WDR27,arch_0,0.0060958355
C6orf120,arch_0,-0.029794298
PHF10,arch_0,0.008759162
AL354892.1,arch_0,-0.0020158114
TCTE3,arch_0,-0.010089073
ERMARD,arch_0,0.012175294
LINC00574,arch_0,-0.020694336
AL109910.2,arch_0,-0.026682554
DLL1,arch_0,-0.021444622
FAM120B,arch_0,-0.017612204
AL008628.1,arch_0,-0.020049334
PSMB1,arch_0,-0.009550256
TBP,arch_0,-0.004298511
PDCD2,arch_0,-0.0023533676
AL672310.1,arch_0,0.014361548
AC093627.5,arch_0,-0.02124957
AC093627.3,arch_0,-0.016584458
FAM20C,arch_0,-0.041611582
PDGFA,arch_0,0.09207016
AC147651.1,arch_0,0.007466177
PRKAR1B,arch_0,0.07870778
AC147651.4,arch_0,-0.017418789
DNAAF5,arch_0,0.018259624
SUN1,arch_0,0.030847372
AC073957.3,arch_0,-0.016530456
COX19,arch_0,0.023378849
C7orf50,arch_0,0.013553301
AC073957.1,arch_0,-0.01968546
GPR146,arch_0,-0.023053762
AC091729.1,arch_0,-0.019427933
GPER1,arch_0,-0.009916359
ZFAND2A,arch_0,-0.01885879
AC091729.3,arch_0,-0.017868213
MICALL2,arch_0,0.046827655
AC102953.2,arch_0,-0.017703077
INTS1,arch_0,0.0018147711
MAFK,arch_0,0.0248972
TMEM184A,arch_0,-0.015720578
PSMG3,arch_0,-0.014876302
PSMG3-AS1,arch_0,0.0013398998
MAD1L1,arch_0,0.015294773
AC104129.1,arch_0,-0.018748835
MRM2,arch_0,-0.013172629
NUDT1,arch_0,-0.022737263
SNX8,arch_0,0.003977483
EIF3B,arch_0,-0.030683978
CHST12,arch_0,-0.0034562808
LFNG,arch_0,0.019545518
BRAT1,arch_0,0.0072074467
IQCE,arch_0,0.012797273
TTYH3,arch_0,0.02342903
AMZ1,arch_0,-0.047700416
GNA12,arch_0,-0.045891814
CARD11,arch_0,-0.022372847
AC073316.1,arch_0,-0.018141985
AC073316.3,arch_0,-0.028620556
SDK1,arch_0,-0.1177455
FOXK1,arch_0,0.013574568
AP5Z1,arch_0,-0.0045267604
RADIL,arch_0,-0.0023192065
MMD2,arch_0,-0.020162202
RBAK,arch_0,0.0010822571
WIPI2,arch_0,-0.01748917
SLC29A4,arch_0,-0.024644414
TNRC18,arch_0,0.036883377
AC092171.1,arch_0,-0.019505287
AC092171.4,arch_0,-0.023729276
AC092171.3,arch_0,-0.02279409
FBXL18,arch_0,0.017091934
AC092171.2,arch_0,-0.021677038
ACTB,arch_0,-0.0011088906
FSCN1,arch_0,0.026023906
RNF216,arch_0,0.035089348
OCM,arch_0,-0.01692671
CCZ1,arch_0,0.007842943
RSPH10B,arch_0,-0.018143488
PMS2,arch_0,-0.0019535734
AIMP2,arch_0,-0.01022204
EIF2AK1,arch_0,0.0058928807
ANKRD61,arch_0,-0.023015838
USP42,arch_0,0.016318934
CYTH3,arch_0,0.08672665
RAC1,arch_0,0.008213186
DAGLB,arch_0,-0.012134524
GRID2IP,arch_0,-0.025966689
ZDHHC4,arch_0,-0.017948976
AC079742.1,arch_0,-0.022205092
C7orf26,arch_0,-0.0015478019
ZNF853,arch_0,-0.016523663
ZNF316,arch_0,0.014343176
AC073343.2,arch_0,-0.013382806
ZNF12,arch_0,-0.002200423
RSPH10B2,arch_0,-0.022288147
CCZ1B,arch_0,-0.0018160065
AC079804.3,arch_0,-0.0109439185
C1GALT1,arch_0,-0.013811047
AC005532.1,arch_0,-0.015672319
COL28A1,arch_0,-0.08073684
AC004982.1,arch_0,-0.019904876
AC004982.2,arch_0,-0.020627227
MIOS,arch_0,-0.014342177
RPA3,arch_0,-0.032264914
UMAD1,arch_0,-0.014387718
AC006042.2,arch_0,-0.024226928
GLCCI1,arch_0,0.057168256
ICA1,arch_0,-0.016639708
NXPH1,arch_0,-0.021040088
AC060834.2,arch_0,-0.021705175
AC004949.1,arch_0,-0.021190189
PHF14,arch_0,-0.004838147
AC004160.1,arch_0,-0.2118434
THSD7A,arch_0,-0.033743158
TMEM106B,arch_0,-0.0047119902
AC013470.2,arch_0,-0.023534445
SCIN,arch_0,-0.008482377
ARL4A,arch_0,-0.010056736
AC011287.1,arch_0,-0.016595243
AC011287.2,arch_0,-0.02269519
ETV1,arch_0,0.076439254
DGKB,arch_0,0.007573494
AGMO,arch_0,0.1328137
MEOX2,arch_0,0.22612908
AC005550.2,arch_0,0.09895598
LINC02587,arch_0,0.028850032
AC006041.2,arch_0,-0.004923672
CRPPA,arch_0,0.0395029
CRPPA-AS1,arch_0,-0.010064227
SOSTDC1,arch_0,-0.016971478
LRRC72,arch_0,-0.019716635
AC005014.2,arch_0,-0.01788579
ANKMY2,arch_0,0.01343431
AC005014.4,arch_0,-0.014398999
BZW2,arch_0,-0.09776724
AC073333.1,arch_0,-0.047384966
TSPAN13,arch_0,-0.052366123
AGR2,arch_0,-0.022165982
AHR,arch_0,-0.047000643
AC073332.1,arch_0,-0.00875877
AC019117.2,arch_0,-0.024838142
AC019117.1,arch_0,-0.02599206
SNX13,arch_0,-0.0370452
HDAC9,arch_0,0.015326976
TWIST1,arch_0,-0.0030726087
AC003986.3,arch_0,-0.021584485
AC007091.1,arch_0,-0.011550757
TWISTNB,arch_0,-0.025815057
TMEM196,arch_0,-0.02958648
AC005062.1,arch_0,-0.03202405
AC007001.1,arch_0,-0.019618386
MACC1,arch_0,-0.021137776
AC004130.2,arch_0,-0.015120915
ITGB8,arch_0,0.052400764
ABCB5,arch_0,-0.019316226
LINC01162,arch_0,-0.021238651
SP4,arch_0,-0.00089425733
DNAH11,arch_0,-0.015492942
CDCA7L,arch_0,-0.013625739
RAPGEF5,arch_0,0.033821426
STEAP1B,arch_0,-0.013587633
AC002480.2,arch_0,-0.018162053
IL6,arch_0,-0.031868137
TOMM7,arch_0,-0.017111601
AC005682.2,arch_0,-0.018756257
SNHG26,arch_0,-0.023868332
FAM126A,arch_0,0.017559465
KLHL7-DT,arch_0,-0.016463777
KLHL7,arch_0,-0.012305223
NUP42,arch_0,-0.009741255
AC005082.2,arch_0,-0.019656125
AC005082.1,arch_0,-0.021289296
GPNMB,arch_0,0.02760149
MALSU1,arch_0,0.00011160385
IGF2BP3,arch_0,-0.023661787
TRA2A,arch_0,-0.0037691926
CCDC126,arch_0,-0.006992902
FAM221A,arch_0,-0.02375491
STK31,arch_0,-0.027237851
AC003044.1,arch_0,-0.021410525
MPP6,arch_0,-0.020672807
GSDME,arch_0,0.004821121
AC003093.1,arch_0,-0.018220203
OSBPL3,arch_0,0.033320032
C7orf31,arch_0,-0.016705621
AC005100.2,arch_0,-0.020946098
AC091705.1,arch_0,-0.018060438
AC005165.1,arch_0,0.08481648
AC005165.3,arch_0,-0.014786243
AC010719.1,arch_0,-0.016121067
NFE2L3,arch_0,-0.01727821
HNRNPA2B1,arch_0,-0.037503745
CBX3,arch_0,-0.0062281936
SNX10,arch_0,-0.01856627
AC004540.1,arch_0,0.02484581
SKAP2,arch_0,-0.018923258
AC004009.1,arch_0,-0.022867942
HIBADH,arch_0,-0.036572453
AC007130.1,arch_0,-0.030251322
AC005091.1,arch_0,-0.022605
TAX1BP1,arch_0,0.010143748
JAZF1,arch_0,0.25152105
JAZF1-AS1,arch_0,0.0547616
CREB5,arch_0,0.037771568
TRIL,arch_0,0.00462755
AC005013.1,arch_0,-0.019960457
AC005162.3,arch_0,0.017292377
CPVL,arch_0,-0.0013098229
AC004593.1,arch_0,-0.011684335
AC007255.1,arch_0,0.11590616
WIPF3,arch_0,-0.012726372
SCRN1,arch_0,-0.022812678
AC007285.1,arch_0,-0.011960572
FKBP14,arch_0,0.0036678957
PLEKHA8,arch_0,-0.0085862605
AC007285.2,arch_0,-0.024571136
AC007036.5,arch_0,-0.019291043
MTURN,arch_0,-0.02735644
AC007036.1,arch_0,-0.03131823
ZNRF2,arch_0,-0.0014391772
LINC01176,arch_0,-0.0076215127
NOD1,arch_0,0.0029275576
AC006027.1,arch_0,-0.021638036
GGCT,arch_0,-0.009362188
GARS-DT,arch_0,0.006846047
AC005154.4,arch_0,-0.019510718
AC005154.3,arch_0,-0.021316018
GARS,arch_0,0.001266766
CRHR2,arch_0,-0.02214678
INMT,arch_0,-0.037317205
MINDY4,arch_0,-0.013055262
AC004691.1,arch_0,-0.024899786
AQP1,arch_0,-0.019511044
GHRHR,arch_0,-0.019048057
ADCYAP1R1,arch_0,-0.046810463
ITPRID1,arch_0,-0.025289398
PPP1R17,arch_0,-0.025321735
PDE1C,arch_0,-0.10034691
LSM5,arch_0,-0.005702628
AVL9,arch_0,-0.007846968
LINC00997,arch_0,-0.019904846
AC018648.1,arch_0,-0.021187099
KBTBD2,arch_0,0.0001792122
FKBP9,arch_0,0.005866081
NT5C3A,arch_0,-0.010673974
RP9,arch_0,-0.010762472
BBS9,arch_0,0.031194223
AC008080.4,arch_0,-0.023542026
AC008080.3,arch_0,-0.02210173
BMPER,arch_0,-0.17003894
NPSR1-AS1,arch_0,-0.026657943
NPSR1,arch_0,-0.021960596
DPY19L1,arch_0,-0.00031959676
AC005400.1,arch_0,-0.021400336
TBX20,arch_0,-0.09775702
AC009531.1,arch_0,-0.02329839
AC018647.3,arch_0,-0.022688022
HERPUD2,arch_0,-0.0038847888
AC018647.2,arch_0,-0.022554096
AC018647.1,arch_0,-0.020426998
SEPTIN7-AS1,arch_0,-0.00035919884
SEPTIN7,arch_0,-0.01589252
AC083864.5,arch_0,-0.020655096
AC083864.2,arch_0,-0.018329484
EEPD1,arch_0,-0.0031046865
KIAA0895,arch_0,-0.015884204
AOAH,arch_0,-0.0039123804
AC007349.1,arch_0,-0.019594438
ELMO1,arch_0,0.1212395
ELMO1-AS1,arch_0,0.02305077
EPDR1,arch_0,0.09269009
SFRP4,arch_0,0.21786086
STARD3NL,arch_0,0.008866241
TRG-AS1,arch_0,-0.016645875
AMPH,arch_0,-0.026263041
VPS41,arch_0,-0.0009780797
POU6F2,arch_0,-0.03182013
POU6F2-AS2,arch_0,-0.022100128
AC011290.1,arch_0,-0.019083273
YAE1,arch_0,-0.0032183568
AC004837.4,arch_0,-0.019611975
RALA,arch_0,0.02401938
AC004837.2,arch_0,-0.018207965
LINC00265,arch_0,-0.012296517
AC072061.1,arch_0,-0.021481287
CDK13,arch_0,0.013092903
MPLKIP,arch_0,-0.002108478
SUGCT,arch_0,0.039116077
AC004988.1,arch_0,-0.015566794
LINC01449,arch_0,-0.0052788816
INHBA,arch_0,0.059087593
INHBA-AS1,arch_0,-0.0096242195
GLI3,arch_0,0.05972552
C7orf25,arch_0,-0.020039568
PSMA2,arch_0,-0.0067546815
MRPL32,arch_0,-0.0126795275
AC005537.1,arch_0,-0.020186674
HECW1,arch_0,-0.010062814
STK17A,arch_0,0.028645119
COA1,arch_0,0.0011585394
BLVRA,arch_0,0.0036532558
URGCP,arch_0,0.017893657
UBE2D4,arch_0,0.014420516
SPDYE1,arch_0,-0.0059959674
AC004951.1,arch_0,-0.008068082
LINC00957,arch_0,-0.01633734
DBNL,arch_0,0.018621871
POLM,arch_0,0.04173171
AEBP1,arch_0,0.31165463
POLD2,arch_0,-0.036068797
YKT6,arch_0,-0.0072388705
NUDCD3,arch_0,-0.0062110825
NPC1L1,arch_0,-0.018277181
DDX56,arch_0,-0.004266436
TMED4,arch_0,0.0024683836
OGDH,arch_0,-0.022916818
ZMIZ2,arch_0,0.016667053
PPIA,arch_0,-0.013828096
H2AFV,arch_0,-0.016677657
PURB,arch_0,-0.025716932
SNHG15,arch_0,-0.02968654
CCM2,arch_0,0.04081074
NACAD,arch_0,-0.017198782
TBRG4,arch_0,-0.024162805
RAMP3,arch_0,-0.019803077
AC073968.2,arch_0,-0.023921426
ADCY1,arch_0,-0.096612796
IGFBP3,arch_0,-0.04480841
AC023669.1,arch_0,-0.012205203
AC023669.2,arch_0,-0.010679623
AC011294.1,arch_0,-0.017895514
AC004870.4,arch_0,-0.030453999
AC004870.2,arch_0,-0.022961315
AC004870.3,arch_0,-0.018974181
TNS3,arch_0,0.10471373
PKD1L1,arch_0,-0.007713524
C7orf69,arch_0,-0.018068919
HUS1,arch_0,-0.011912237
SUN3,arch_0,-0.020001557
UPP1,arch_0,-0.029179653
ABCA13,arch_0,-0.02327923
AC092448.1,arch_0,-0.017397627
IKZF1,arch_0,-0.018225824
FIGNL1,arch_0,-0.017405491
GRB10,arch_0,-0.064137354
AC005153.1,arch_0,-0.023198532
AC004830.2,arch_0,-0.023833638
COBL,arch_0,-0.014625922
AC005999.2,arch_0,-0.0032401998
LINC01446,arch_0,-0.023497049
LINC01445,arch_0,-0.019650323
AC011228.2,arch_0,-0.0187528
SEC61G,arch_0,-0.014548921
AC074351.1,arch_0,-0.02340112
EGFR,arch_0,-0.08944492
EGFR-AS1,arch_0,-0.02918776
ELDR,arch_0,-0.02135048
LANCL2,arch_0,-0.0041084257
VOPP1,arch_0,0.06349993
SEPTIN14,arch_0,-0.020697499
ZNF713,arch_0,0.043558843
NIPSNAP2,arch_0,0.0420623
PSPH,arch_0,0.018892558
CCT6A,arch_0,-0.011547238
SUMF2,arch_0,-0.009955403
PHKG1,arch_0,-0.0014281336
CHCHD2,arch_0,-0.024015855
AC118758.3,arch_0,-0.018502196
AC237221.1,arch_0,-0.014361214
AC092634.4,arch_0,-0.021096632
LINC02848,arch_0,-0.021687979
ZNF727,arch_0,-0.003540292
AC091685.1,arch_0,-0.020047078
ZNF736,arch_0,0.018585652
AC073270.2,arch_0,-0.016171942
ZNF680,arch_0,-0.016360901
ZNF107,arch_0,-0.005159573
ZNF138,arch_0,0.012601991
AC073349.4,arch_0,-0.018456807
ZNF273,arch_0,0.004920319
ZNF117,arch_0,0.005320873
AC104073.4,arch_0,-0.021740852
ZNF92,arch_0,0.005542456
VKORC1L1,arch_0,0.008226703
GUSB,arch_0,-0.0016719799
ASL,arch_0,-0.016246393
CRCP,arch_0,-0.011383669
AC068533.3,arch_0,-0.0139623005
TPST1,arch_0,-0.06240443
LINC00174,arch_0,0.018341921
AC008267.5,arch_0,-0.019986087
KCTD7,arch_0,0.017674586
AC006001.2,arch_0,-0.022985341
RABGEF1,arch_0,0.018993074
AC027644.3,arch_0,-0.017489884
LINC02604,arch_0,-0.023134945
TMEM248,arch_0,-0.0061298646
SBDS,arch_0,-0.028846085
TYW1,arch_0,-0.019424208
SPDYE21P,arch_0,-0.005569209
AC006480.2,arch_0,-0.019700123
AC093655.1,arch_0,-0.024126684
AC092100.1,arch_0,-0.020631993
AUTS2,arch_0,0.045807138
GALNT17,arch_0,-0.016224485
CALN1,arch_0,-0.0069020293
TYW1B,arch_0,-0.0076192776
POM121,arch_0,-0.011675824
AC211476.2,arch_0,-0.026170647
AC211476.6,arch_0,-0.024765695
NSUN5,arch_0,-0.009478866
FKBP6,arch_0,-0.024694765
BAZ1B,arch_0,-0.008533739
BCL7B,arch_0,-0.0047665588
TBL2,arch_0,0.0005494302
MLXIPL,arch_0,-0.060325824
VPS37D,arch_0,-0.018732332
DNAJC30,arch_0,-0.012029731
BUD23,arch_0,-0.01126387
STX1A,arch_0,-0.017716601
ABHD11,arch_0,-0.021504784
CLDN4,arch_0,-0.014241564
METTL27,arch_0,-0.018120186
ELN,arch_0,-0.070913844
ELN-AS1,arch_0,-0.035835925
LIMK1,arch_0,0.05431096
EIF4H,arch_0,-0.028363267
LAT2,arch_0,-0.0024094689
RFC2,arch_0,-0.016076569
AC005081.1,arch_0,-0.017334094
CLIP2,arch_0,0.053289775
GTF2IRD1,arch_0,-0.0038324937
GTF2I,arch_0,0.042906873
AC211433.1,arch_0,-0.0025129083
NCF1,arch_0,-0.01779196
GTF2IRD2,arch_0,-0.023892665
CASTOR2,arch_0,0.01889686
RCC1L,arch_0,0.011994988
GTF2IRD2B,arch_0,-0.039771605
AC211486.5,arch_0,0.005240698
TRIM73,arch_0,0.004398693
POM121C,arch_0,-0.0045588757
SPDYE5,arch_0,-0.0012504634
HIP1,arch_0,0.19698425
CCL26,arch_0,-0.02675957
RHBDD2,arch_0,0.0017477459
POR,arch_0,-0.022241369
TMEM120A,arch_0,-0.019591784
STYXL1,arch_0,0.011454019
MDH2,arch_0,-0.015622647
SRRM3,arch_0,-0.007708568
HSPB1,arch_0,-0.021565694
YWHAG,arch_0,-0.00920743
SSC4D,arch_0,-0.019094896
ZP3,arch_0,-0.01687001
DTX2,arch_0,0.003451551
AC005522.1,arch_0,-0.019898083
UPK3B,arch_0,-0.019209534
SPDYE16,arch_0,-0.016172344
POMZP3,arch_0,-0.0060268305
AC006972.1,arch_0,-0.028572908
AC114737.1,arch_0,-0.02356195
CCDC146,arch_0,0.020210434
FGL2,arch_0,-0.0057885116
AC098851.1,arch_0,-0.020155163
GSAP,arch_0,-0.008316464
AC004921.2,arch_0,-0.022974228
PTPN12,arch_0,-0.03149271
APTR,arch_0,-0.019901857
RSBN1L,arch_0,-0.000979872
TMEM60,arch_0,-0.02530731
PHTF2,arch_0,0.016603278
MAGI2,arch_0,0.02805205
AC006355.2,arch_0,-0.0110066505
MAGI2-AS3,arch_0,0.0011958623
GNAI1,arch_0,0.13897012
CD36,arch_0,-0.005593377
SEMA3C,arch_0,0.13028967
HGF,arch_0,0.023228845
CACNA2D1,arch_0,-0.017841127
AC006145.1,arch_0,-0.014964837
PCLO,arch_0,-0.01702443
SEMA3E,arch_0,-0.03837801
SEMA3A,arch_0,-0.015230348
SEMA3D,arch_0,-0.043815874
GRM3,arch_0,-0.01410342
AC005009.2,arch_0,-0.011602732
KIAA1324L,arch_0,0.0393445
DMTF1,arch_0,0.029794727
TMEM243,arch_0,-0.013687971
TP53TG1,arch_0,-0.009471104
CROT,arch_0,0.01627709
ABCB1,arch_0,-0.015762579
RUNDC3B,arch_0,-0.018435102
SLC25A40,arch_0,0.018905664
DBF4,arch_0,0.0034121538
ADAM22,arch_0,0.056190714
SRI,arch_0,-0.013863088
AC003991.2,arch_0,-0.022099491
AC003991.1,arch_0,-0.1329717
STEAP4,arch_0,-0.19215265
AC002069.2,arch_0,-0.030378796
ZNF804B,arch_0,-0.025335092
AC002383.1,arch_0,-0.028556494
STEAP2-AS1,arch_0,0.0043418324
STEAP1,arch_0,0.020015
STEAP2,arch_0,0.07753127
CFAP69,arch_0,-0.0018451447
AC002064.2,arch_0,-0.024152141
AC002064.1,arch_0,-0.020777248
FAM237B,arch_0,-0.018791046
GTPBP10,arch_0,-0.007558792
CLDN12,arch_0,-0.009468073
CDK14,arch_0,-0.034997273
AC002456.1,arch_0,-0.023189303
AC002458.1,arch_0,-0.020523513
FZD1,arch_0,-0.025132798
AC079760.2,arch_0,0.013697291
AC079760.1,arch_0,0.09920898
AC000058.1,arch_0,-0.013611195
MTERF1,arch_0,-0.022918098
AC003086.1,arch_0,-0.019094443
AKAP9,arch_0,0.0030523601
CYP51A1,arch_0,-0.0021299957
CYP51A1-AS1,arch_0,-0.017467309
LRRD1,arch_0,-0.010231599
KRIT1,arch_0,-0.009403393
ANKIB1,arch_0,0.03824785
GATAD1,arch_0,0.013070128
AC007566.1,arch_0,0.01901027
ERVW-1,arch_0,-0.02450416
PEX1,arch_0,0.010740947
RBM48,arch_0,-0.010378831
FAM133B,arch_0,-0.0141804395
CDK6,arch_0,0.16383612
AC000065.1,arch_0,0.018347159
AC002454.1,arch_0,-0.0043595918
SAMD9,arch_0,-0.0014784049
SAMD9L,arch_0,0.04476341
VPS50,arch_0,0.0074524367
GNGT1,arch_0,-0.024578506
GNG11,arch_0,-0.01714218
BET1,arch_0,-0.0077725863
AC006378.1,arch_0,-0.020288957
AC003092.1,arch_0,-0.020034548
AC002074.1,arch_0,0.026712231
AC002074.2,arch_0,-0.014988636
COL1A2,arch_0,0.27047026
CASD1,arch_0,-0.016233446
SGCE,arch_0,-0.019971656
PPP1R9A,arch_0,-0.0074851504
AC002429.2,arch_0,-0.014199697
PON1,arch_0,-0.03163882
PON3,arch_0,-0.04642181
PON2,arch_0,0.03588476
ASB4,arch_0,-0.021882271
AC002451.1,arch_0,-0.04221735
PDK4,arch_0,-0.1403806
DYNC1I1,arch_0,0.028131539
SLC25A13,arch_0,-0.07547987
SEM1,arch_0,0.022065686
SDHAF3,arch_0,-0.0051159803
AC079781.5,arch_0,-0.006255192
LMTK2,arch_0,0.017478844
TECPR1,arch_0,0.0028329042
BRI3,arch_0,-0.015007124
BAIAP2L1,arch_0,-0.017885473
NPTX2,arch_0,-0.038439672
TMEM130,arch_0,-0.015001505
TRRAP,arch_0,0.00914317
AC004893.3,arch_0,-0.020161537
SMURF1,arch_0,0.013688083
KPNA7,arch_0,-0.006138585
AC004834.1,arch_0,-0.016932843
ARPC1A,arch_0,0.016189741
ARPC1B,arch_0,0.015101715
PDAP1,arch_0,-0.0049828305
BUD31,arch_0,-0.017117443
PTCD1,arch_0,-0.010464207
CPSF4,arch_0,-0.009492972
ZNF789,arch_0,-0.0051376517
ZNF394,arch_0,-0.011204967
ZKSCAN5,arch_0,-0.001651975
FAM200A,arch_0,-0.015721599
ZNF655,arch_0,-0.018888839
TMEM225B,arch_0,-0.026890982
ZSCAN25,arch_0,-0.0048617967
CYP3A5,arch_0,-0.015953474
CYP3A7,arch_0,-0.021503314
CYP3A4,arch_0,-0.030565597
CYP3A43,arch_0,-0.028480658
TRIM4,arch_0,-0.016861042
AC004522.3,arch_0,-0.015608629
AC004522.5,arch_0,-0.020968087
ZKSCAN1,arch_0,-0.0021372389
ZSCAN21,arch_0,-0.013123265
ZNF3,arch_0,-0.00660612
COPS6,arch_0,0.0050798124
MCM7,arch_0,-0.0139242085
AP4M1,arch_0,0.008083856
TAF6,arch_0,-0.011101987
AC073842.2,arch_0,-0.012590666
CNPY4,arch_0,-0.002493487
MBLAC1,arch_0,-0.018961264
AC073842.1,arch_0,-0.020129297
LAMTOR4,arch_0,-0.013686693
MAP11,arch_0,-0.016520793
GAL3ST4,arch_0,-0.011013807
GPC2,arch_0,-0.02069488
STAG3,arch_0,-0.013245381
CASTOR3,arch_0,0.016489366
SPDYE3,arch_0,-0.0020292222
PILRB,arch_0,0.0062163346
PILRA,arch_0,-0.005696501
ZCWPW1,arch_0,-0.009530821
MEPCE,arch_0,-0.024033137
PPP1R35,arch_0,-0.016301898
C7orf61,arch_0,-0.012535208
TSC22D4,arch_0,-0.0049731266
AGFG2,arch_0,-0.013274093
SAP25,arch_0,-0.022400068
LRCH4,arch_0,-0.019506995
FBXO24,arch_0,-0.018602762
PCOLCE-AS1,arch_0,-0.014653435
PCOLCE,arch_0,0.004004322
MOSPD3,arch_0,-0.019140525
TFR2,arch_0,-0.026512548
GNB2,arch_0,-0.01416745
GIGYF1,arch_0,-0.006887075
POP7,arch_0,-0.021900402
ZAN,arch_0,-0.022809606
EPHB4,arch_0,-0.0103476085
SLC12A9,arch_0,0.0012268963
SLC12A9-AS1,arch_0,-0.01970665
TRIP6,arch_0,-0.005380974
SRRT,arch_0,-0.0019114844
ACHE,arch_0,-0.016983688
MUC12,arch_0,-0.022296498
TRIM56,arch_0,-0.030974355
SERPINE1,arch_0,0.0554259
AP1S1,arch_0,-0.016728798
PLOD3,arch_0,0.008130092
ZNHIT1,arch_0,-0.012627141
CLDN15,arch_0,-0.0071173324
FIS1,arch_0,-0.01143339
IFT22,arch_0,-0.0076403664
COL26A1,arch_0,-0.018756697
CUX1,arch_0,-0.12936404
AC005096.1,arch_0,-0.037005797
SH2B2,arch_0,-0.025673516
SPDYE6,arch_0,-0.031649306
PRKRIP1,arch_0,0.0064824116
AC073517.1,arch_0,-0.021334158
ORAI2,arch_0,0.030873924
ALKBH4,arch_0,0.0010230836
LRWD1,arch_0,-0.02000521
POLR2J,arch_0,-0.025675088
RASA4B,arch_0,-0.019474538
UPK3BL2,arch_0,-0.01961794
SPDYE2,arch_0,-0.0074218437
POLR2J3,arch_0,-0.014720112
AC105052.4,arch_0,-0.027149742
SPDYE2B,arch_0,-0.025620908
AC105052.5,arch_0,-0.01811517
FAM185A,arch_0,-0.016825546
FBXL13,arch_0,-0.0010589145
LRRC17,arch_0,0.038011484
NFE4,arch_0,-0.021060491
ARMC10,arch_0,-0.0014733127
NAPEPLD,arch_0,0.0018163406
PMPCB,arch_0,-0.011943268
DNAJC2,arch_0,-0.015169967
PSMC2,arch_0,-0.0055769617
SLC26A5,arch_0,0.018547585
AC005064.1,arch_0,-0.0051436624
RELN,arch_0,0.05853744
ORC5,arch_0,0.004715251
LHFPL3,arch_0,-0.021057744
LHFPL3-AS1,arch_0,-0.018456547
LHFPL3-AS2,arch_0,-0.022211578
AC007384.1,arch_0,-0.021672167
LINC01004,arch_0,0.005603992
KMT2E-AS1,arch_0,-0.011728058
KMT2E,arch_0,0.007270272
AC005070.3,arch_0,-0.019823143
SRPK2,arch_0,0.029935187
AC004884.2,arch_0,-0.024274599
PUS7,arch_0,-0.052038975
RINT1,arch_0,-0.0065887184
EFCAB10,arch_0,-0.019492034
AC073073.2,arch_0,-0.020200746
ATXN7L1,arch_0,0.008921252
CDHR3,arch_0,0.013583117
SYPL1,arch_0,-0.009096479
NAMPT,arch_0,-0.16248268
AC004917.1,arch_0,-0.02737931
AC005050.3,arch_0,-0.026765706
PIK3CG,arch_0,-0.0185614
PRKAR2B,arch_0,-0.014846605
AC006387.1,arch_0,-0.02244567
HBP1,arch_0,-0.03872002
AC004492.1,arch_0,-0.018416613
COG5,arch_0,0.036622778
GPR22,arch_0,-0.021364126
DUS4L,arch_0,-0.012237466
AC004839.2,arch_0,-0.02120725
BCAP29,arch_0,0.021278296
SLC26A4-AS1,arch_0,-0.022393748
SLC26A4,arch_0,-0.0009029773
CBLL1,arch_0,-0.010377693
SLC26A3,arch_0,-0.022123605
DLD,arch_0,-0.041446928
LAMB1,arch_0,-0.08568415
AC005046.1,arch_0,-0.028601168
LAMB4,arch_0,-0.023206018
NRCAM,arch_0,0.11659568
PNPLA8,arch_0,-0.033219963
DNAJB9,arch_0,-0.042899318
AC004014.1,arch_0,-0.00860801
AC073071.1,arch_0,-0.021685438
AC073114.1,arch_0,-0.027050471
IMMP2L,arch_0,-0.10599403
LRRN3,arch_0,-0.014607954
DOCK4,arch_0,-0.13110228
AC003077.1,arch_0,-0.024560796
DOCK4-AS1,arch_0,-0.040919274
ZNF277,arch_0,-0.019242957
AC004112.1,arch_0,-0.027648618
IFRD1,arch_0,-0.011683855
LSMEM1,arch_0,-0.017474454
AC002463.1,arch_0,-0.04240121
TMEM168,arch_0,-0.027000938
BMT2,arch_0,0.011386313
AC073346.1,arch_0,-0.021313163
FOXP2,arch_0,-0.1193005
AC073626.1,arch_0,-0.030389765
MDFIC,arch_0,0.044078726
LINC01393,arch_0,-0.023018116
LINC01392,arch_0,-0.022756426
TFEC,arch_0,-0.016159572
TES,arch_0,0.09475225
AC002066.1,arch_0,-0.0017059591
CAV2,arch_0,-0.014987413
CAV1,arch_0,-0.0036084675
AC006159.1,arch_0,-0.018529512
MET,arch_0,0.05209492
CAPZA2,arch_0,0.019322477
ST7-AS1,arch_0,-0.029117016
ST7,arch_0,0.076610126
AC106873.1,arch_0,-0.02236997
ST7-AS2,arch_0,0.025292445
WNT2,arch_0,-0.018347597
AC002465.2,arch_0,-0.017805142
CFTR,arch_0,-0.01090076
CTTNBP2,arch_0,0.05067583
LSM8,arch_0,-0.005002971
ANKRD7,arch_0,-0.02321237
LINC02476,arch_0,0.00058657594
AC004946.1,arch_0,-0.021576347
KCND2,arch_0,-0.092758834
TSPAN12,arch_0,-0.010390648
ING3,arch_0,0.0040378664
CPED1,arch_0,0.14555372
FAM3C,arch_0,0.04231502
PTPRZ1,arch_0,-0.02438206
AASS,arch_0,-0.11058153
AC015983.2,arch_0,-0.05217011
CADPS2,arch_0,0.047547877
AC004594.1,arch_0,-0.00071060995
AC073311.1,arch_0,-0.018958826
